author,rank,scrapy_date,text,url
Jane Austen,1,2019-11-09T16:08:50.876049,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",http://quotes.toscrape.com/page/9/
J.K. Rowling,2,2019-11-09T16:08:50.878048,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",http://quotes.toscrape.com/page/9/
Jane Austen,3,2019-11-09T16:08:50.881047,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",http://quotes.toscrape.com/page/9/
Jane Austen,4,2019-11-09T16:08:50.883045,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",http://quotes.toscrape.com/page/9/
C.S. Lewis,5,2019-11-09T16:08:50.888042,“Some day you will be old enough to start reading fairy tales again.”,http://quotes.toscrape.com/page/9/
C.S. Lewis,6,2019-11-09T16:08:50.890041,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,http://quotes.toscrape.com/page/9/
Mark Twain,7,2019-11-09T16:08:50.892040,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,http://quotes.toscrape.com/page/9/
Mark Twain,8,2019-11-09T16:08:50.895040,“A lie can travel half way around the world while the truth is putting on its shoes.”,http://quotes.toscrape.com/page/9/
C.S. Lewis,9,2019-11-09T16:08:50.900035,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",http://quotes.toscrape.com/page/9/
J.K. Rowling,0,2019-11-09T16:08:51.307804,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",http://quotes.toscrape.com/page/10/
Jimi Hendrix,1,2019-11-09T16:08:51.408744,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",http://quotes.toscrape.com/page/10/
J.M. Barrie,2,2019-11-09T16:08:51.487699,“To die will be an awfully big adventure.”,http://quotes.toscrape.com/page/10/
E.E. Cummings,3,2019-11-09T16:08:51.503689,“It takes courage to grow up and become who you really are.”,http://quotes.toscrape.com/page/10/
Khaled Hosseini,4,2019-11-09T16:08:51.686585,“But better to get hurt by the truth than comforted with a lie.”,http://quotes.toscrape.com/page/10/
Harper Lee,5,2019-11-09T16:08:51.788527,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,http://quotes.toscrape.com/page/10/
Madeleine L'Engle,6,2019-11-09T16:08:51.830503,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",http://quotes.toscrape.com/page/10/
Mark Twain,7,2019-11-09T16:08:51.896467,“Never tell the truth to people who are not worthy of it.”,http://quotes.toscrape.com/page/10/
Dr. Seuss,8,2019-11-09T16:08:51.918453,"“A person's a person, no matter how small.”",http://quotes.toscrape.com/page/10/
George R.R. Martin,9,2019-11-09T16:08:52.007403,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",http://quotes.toscrape.com/page/10/
